index,api,issue,status
1,tf.raw_ops.QuantizedMaxPool,https://github.com/tensorflow/tensorflow/issues/100223,confirmed
2,tf.raw_ops.MaxPoolGradGradWithArgmax,https://github.com/tensorflow/tensorflow/issues/94382,fixed
3,tf.raw_ops.BiasAdd,https://github.com/tensorflow/tensorflow/issues/94379,confirmed
4,tf.raw_ops.SparseToDense,https://github.com/tensorflow/tensorflow/issues/94378,confirmed
5,tf.raw_ops.SparseSegmentSqrtNGradV2,https://github.com/tensorflow/tensorflow/issues/94376,confirmed
6,tf.raw_ops.SparseSegmentSumGradV2,https://github.com/tensorflow/tensorflow/issues/94151,confirmed
7,tf.raw_ops.TensorScatterMax,https://github.com/tensorflow/tensorflow/issues/94134,confirmed
8,tf.raw_ops.TensorScatterMin,https://github.com/tensorflow/tensorflow/issues/94132,confirmed
9,tf.raw_ops.ResourceSparseApplyMomentum,https://github.com/tensorflow/tensorflow/issues/94131,confirmed
10,tf.raw_ops.ResourceSparseApplyAdagradDA,https://github.com/tensorflow/tensorflow/issues/94130,confirmed
11,tf.raw_ops.HistogramFixedWidth,https://github.com/tensorflow/tensorflow/issues/94127,confirmed
12,tf.raw_ops.CropAndResizeGradBoxes,https://github.com/tensorflow/tensorflow/issues/94122,confirmed
13,tf.raw_ops.MaxPool3D,https://github.com/tensorflow/tensorflow/issues/94120,confirmed
14,tf.raw_ops.AvgPool3DGrad,https://github.com/tensorflow/tensorflow/issues/94119,confirmed
15,tf.raw_ops.SparseBincount,https://github.com/tensorflow/tensorflow/issues/94118,confirmed
16,tf.raw_ops.ResourceSparseApplyProximalAdagrad,https://github.com/tensorflow/tensorflow/issues/94117,confirmed
17,tf.raw_ops.QuantizeAndDequantizeV3,https://github.com/tensorflow/tensorflow/issues/94116,confirmed
18,tf.raw_ops.MaxPool,https://github.com/tensorflow/tensorflow/issues/94115,confirmed
19,tf.raw_ops.Conv3DBackpropInputV2,https://github.com/tensorflow/tensorflow/issues/94114,confirmed
20,tf.raw_ops.Mfcc,https://github.com/tensorflow/tensorflow/issues/94076,confirmed
21,tf.raw_ops.QuantizedConv2D,https://github.com/tensorflow/tensorflow/issues/94045,confirmed
22,tf.conv2d_backprop_filter_v2,https://github.com/tensorflow/tensorflow/issues/93903,confirmed
