index,api,issue,status
1,torch.nn.functional.embedding_bag,https://github.com/pytorch/pytorch/issues/175370,confirmed
2,torch.nn.functional.embedding_bag,https://github.com/pytorch/pytorch/issues/175368,confirmed
3,torch.istft,https://github.com/pytorch/pytorch/issues/174986,confirmed
4,torch.isclose,https://github.com/pytorch/pytorch/issues/174985,fixed
5,torch.nn.functional.scaled_dot_product_attention,https://github.com/pytorch/pytorch/issues/174939,confirmed
6,torch.fft.rfft,https://github.com/pytorch/pytorch/issues/174984,confirmed
7,torch.reshape,https://github.com/pytorch/pytorch/issues/173724,fixed
8,torch.batch_norm_update_stats,https://github.com/pytorch/pytorch/issues/153967,confirmed
9,torch.remainder,https://github.com/pytorch/pytorch/issues/153919,confirmed
10,torch.aminmax,https://github.com/pytorch/pytorch/issues/153360,confirmed
11,torch.cumsum,https://github.com/pytorch/pytorch/issues/153359,fixed
12,torch.dequantize,https://github.com/pytorch/pytorch/issues/153358,reported
13,torch.combinations,https://github.com/pytorch/pytorch/issues/153337,confirmed
14,torch.Tensor.to_dense,https://github.com/pytorch/pytorch/issues/153329,confirmed
15,torch.pixel_shuffle,https://github.com/pytorch/pytorch/issues/153327,confirmed
16,torch.choose_qparams_optimized,https://github.com/pytorch/pytorch/issues/153326,fixed
17,torch.nn.functional.lp_pool1d,https://github.com/pytorch/pytorch/issues/153312,fixed
18,torch.arange,https://github.com/pytorch/pytorch/issues/153311,fixed
19,torch.fused_moving_avg_obs_fake_quant,https://github.com/pytorch/pytorch/issues/153310,fixed
20,torch.lu_unpack,https://github.com/pytorch/pytorch/issues/153232,fixed
21,torch.native_channel_shuffle,https://github.com/pytorch/pytorch/issues/153231,confirmed
22,torch.addcmul,https://github.com/pytorch/pytorch/issues/153210,confirmed
23,torch.nn.functional.cosine_similarity,https://github.com/pytorch/pytorch/issues/153209,fixed
24,torch.fmod,https://github.com/pytorch/pytorch/issues/153203,confirmed
25,torch.clamp_min,https://github.com/pytorch/pytorch/issues/153187,confirmed
26,torch.batch_norm,https://github.com/pytorch/pytorch/issues/153137,fixed
27,torch.arange,https://github.com/pytorch/pytorch/issues/153133,fixed
28,torch.nanmean,https://github.com/pytorch/pytorch/issues/153132,fixed
29,torch.Tensor.asin,https://github.com/pytorch/pytorch/issues/153128,fixed
30,torch.lcm_,https://github.com/pytorch/pytorch/issues/152979,confirmed
31,torch.Tensor.put_,https://github.com/pytorch/pytorch/issues/152755,fixed
32,torch.clamp,https://github.com/pytorch/pytorch/issues/152731,confirmed
